Country,Cost of Living Index_cost_of_living_index,Rent Index_cost_of_living_index,Groceries Index_cost_of_living_index,Restaurant Price Index_cost_of_living_index,Crime Index_crime_index,Safety Index_crime_index,Health Care Index_health_care_index,Pollution Index_pollution_index,Quality of Life Index_quality_of_life_index,Climate Index_quality_of_life_index,Traffic Index_traffic_index,Time Index(in minutes)_traffic_index,Inefficiency Index_traffic_index,CO2Emission Index_traffic_index
Us Virgin Islands,98.4,46.4,106.3,90.5,59.9,40.1,nan,nan,nan,nan,nan,nan,nan,nan
Switzerland,98.4,45.2,103.1,98.4,26.5,73.5,71.5,23.1,205.0,79.2,117.8,33.0,170.2,2901.8
Iceland,83.4,43.7,90.3,94.7,25.7,74.3,67.6,16.0,202.0,68.8,93.1,21.4,91.5,3312.0
Bahamas,81.4,46.9,79.1,94.5,56.9,43.1,nan,nan,nan,nan,nan,nan,nan,nan
Singapore,79.1,67.0,70.8,53.5,22.6,77.4,71.8,32.6,152.8,57.5,144.9,40.7,143.9,2438.0
Hong Kong (China),73.6,55.7,75.9,49.7,21.5,78.5,66.1,66.5,134.0,83.6,141.5,41.8,148.4,1660.4
Barbados,70.0,20.1,78.1,70.3,44.9,55.1,nan,nan,nan,nan,nan,nan,nan,nan
Norway,69.0,24.8,71.9,74.6,33.0,67.0,75.6,18.3,195.0,68.5,92.6,26.4,121.1,2482.9
Papua New Guinea,67.4,36.6,51.9,37.9,80.3,19.7,nan,nan,nan,nan,nan,nan,nan,nan
Denmark,66.9,25.7,61.0,80.8,26.0,74.0,78.4,20.6,209.9,82.5,85.6,27.8,117.9,1621.5
Guernsey,66.1,45.7,70.5,65.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Israel,65.2,27.1,61.2,74.5,31.8,68.2,73.2,56.8,163.6,93.8,154.4,36.5,166.9,5863.6
United States,64.9,40.9,71.7,69.3,49.2,50.8,67.8,36.7,188.8,78.5,151.1,32.9,234.2,7302.8
Luxembourg,64.8,42.2,65.3,72.8,34.2,65.8,75.2,23.3,220.1,82.6,105.8,27.0,123.7,3825.9
Australia,60.9,29.8,67.9,59.2,47.3,52.7,73.4,26.8,192.2,93.8,163.0,37.4,237.8,6245.1
Austria,60.7,22.0,62.2,59.7,29.5,70.5,77.9,20.9,192.9,77.8,77.6,23.8,76.8,1611.2
Netherlands,60.5,32.1,56.8,67.7,26.9,73.1,79.3,21.6,211.3,87.2,84.1,23.5,137.4,1941.5
Ireland,59.8,39.0,56.9,65.8,47.6,52.4,51.5,35.0,166.5,87.8,149.3,37.7,172.7,4364.7
United Kingdom,59.2,30.0,54.8,65.3,48.3,51.7,72.7,40.7,174.5,87.2,134.2,34.7,157.4,4112.9
Puerto Rico,58.7,19.9,63.1,53.4,61.5,38.5,58.5,47.9,nan,nan,151.0,32.6,161.5,7896.3
Finland,58.7,19.1,59.4,64.7,26.8,73.2,77.5,11.8,203.8,58.6,78.3,25.5,70.5,1553.8
Canada,58.7,30.3,65.3,59.9,45.7,54.3,68.7,29.8,166.4,57.8,139.4,33.5,182.1,5381.0
