Rank,Country,Pollution Index,Exp Pollution Index
1,Cameroon,93.7,169.8
2,Myanmar,89.8,162.2
3,Lebanon,89.4,159.9
4,Nigeria,87.9,157.0
5,Mongolia,87.8,160.4
6,Ghana,86.9,155.5
7,Bangladesh,85.4,152.6
8,Afghanistan,84.4,150.5
9,Vietnam,84.2,150.4
10,Nepal,84.0,149.3
11,Egypt,82.7,146.8
12,Peru,82.4,146.6
13,North Macedonia,79.6,144.8
14,Zimbabwe,78.5,139.8
15,Monaco,78.2,140.2
16,Cambodia,77.7,137.0
17,Chile,77.5,139.0
18,China,77.3,140.1
19,Jordan,77.1,135.7
20,Albania,77.0,134.9
21,Thailand,75.7,133.2
22,Malta,75.5,132.3
23,Iran,75.2,137.8
24,Venezuela,75.1,133.2
25,Syria,74.9,130.7
26,Guatemala,73.5,128.2
27,Pakistan,73.3,127.9
28,Ethiopia,73.2,127.9
29,Dominican Republic,73.2,127.7
30,Kazakhstan,73.2,132.4
31,India,72.9,127.1
32,Azerbaijan,72.7,126.9
33,Philippines,72.4,127.0
34,Bolivia,71.9,125.7
35,Bahrain,71.6,129.3
36,Iraq,71.5,124.3
37,Tunisia,70.1,122.0
38,Kuwait,69.4,122.7
39,Kenya,69.0,120.8
40,Morocco,68.7,119.1
41,Indonesia,68.0,117.7
42,Georgia,67.8,121.4
43,Trinidad And Tobago,67.1,116.2
44,Hong Kong (China),66.5,118.0
45,Jamaica,66.3,115.4
46,Serbia,65.8,116.1
47,Turkey,64.3,111.0
48,Taiwan,64.2,111.5
49,Algeria,63.9,111.2
50,Bulgaria,62.8,113.0
51,Tanzania,62.5,109.5
52,Colombia,62.5,110.1
53,Saudi Arabia,62.5,109.3
54,Armenia,62.3,113.7
55,Ukraine,62.1,107.0
56,Moldova,61.3,106.1
57,Malaysia,61.0,103.9
58,South Korea,60.9,111.3
59,Qatar,60.0,106.1
60,Bosnia And Herzegovina,59.7,105.2
61,Ecuador,59.0,100.9
62,Russia,59.0,100.8
63,Romania,58.7,100.3
64,Mexico,58.4,99.2
65,Sri Lanka,57.9,98.9
66,Israel,56.8,100.6
67,South Africa,56.6,96.3
68,Panama,55.6,96.6
69,Poland,55.4,98.1
70,Cyprus,55.3,93.2
71,Mauritius,54.6,92.8
72,Uzbekistan,54.0,91.5
73,Italy,53.5,90.6
74,Brazil,52.9,89.8
75,Argentina,50.8,86.6
76,Greece,49.4,86.2
77,Belgium,49.2,82.7
78,United Arab Emirates,48.1,81.4
79,Puerto Rico,47.9,82.0
80,Hungary,46.5,80.5
81,Belarus,44.9,74.8
82,Montenegro,43.7,73.3
83,Uruguay,43.5,77.5
84,France,43.5,72.5
85,Costa Rica,42.0,71.4
86,United Kingdom,40.7,67.3
87,Japan,38.5,62.2
88,Slovakia,37.1,62.0
89,United States,36.7,60.5
90,Spain,35.7,57.5
91,Oman,35.6,56.7
92,Ireland,35.0,58.1
93,Czech Republic,34.6,57.2
94,Singapore,32.6,55.4
95,Croatia,31.2,51.3
96,Latvia,30.3,48.8
97,Canada,29.8,48.6
98,Germany,28.9,46.6
99,Portugal,28.8,46.0
100,Australia,26.8,42.9
101,Lithuania,26.3,42.6
102,New Zealand,26.1,44.3
103,Luxembourg,23.3,35.3
104,Switzerland,23.1,36.9
105,Slovenia,22.2,38.8
106,Netherlands,21.6,34.4
107,Austria,20.9,33.7
108,Denmark,20.6,31.9
109,Norway,18.3,29.6
110,Sweden,17.6,27.3
111,Estonia,17.0,27.4
112,Iceland,16.0,27.1
113,Finland,11.8,19.7
