,TourismEmploymentPer1000,FoodEmploymentPer1000,TourismGDPPercentage,BusinessToPersonalRatio,AverageStayDays,InboundArrivalsPer1000,DomesticTouristsPer1000,InboundToOutboundRatio,CostOfLivingIndex,GroceriesCostIndex,RestaurantPriceIndex,SafetyIndex,HealthCareIndex,QualityOfLifeIndex,ClimateIndex,ReverseTrafficInefficiencyIndex,ReverseTrafficTimeIndexMinutes,ReverseTrafficIndex,ReversePollutionIndex
TourismEmploymentPer1000,0.0,0.0,0.016,0.057,0.496,0.0,0.001,0.123,0.001,0.0,0.0,0.007,0.103,0.018,0.571,0.369,0.039,0.097,0.003
FoodEmploymentPer1000,0.0,0.0,0.736,0.643,0.664,0.0,0.007,0.373,0.001,0.002,0.0,0.003,0.043,0.004,0.464,0.13,0.013,0.025,0.008
TourismGDPPercentage,0.016,0.736,0.0,0.005,0.015,0.005,0.229,0.0,0.916,0.955,0.357,0.954,0.235,0.393,0.323,0.92,0.911,0.916,0.413
BusinessToPersonalRatio,0.057,0.643,0.005,0.0,0.015,0.044,0.919,0.002,0.546,0.318,0.656,0.612,0.833,0.124,0.09,0.652,0.051,0.278,0.672
AverageStayDays,0.496,0.664,0.015,0.015,0.0,0.447,0.031,0.062,0.016,0.04,0.004,0.135,0.018,0.002,0.376,0.027,0.029,0.01,0.035
InboundArrivalsPer1000,0.0,0.0,0.005,0.044,0.447,0.0,0.005,0.011,0.0,0.0,0.0,0.0,0.198,0.0,0.363,0.0,0.0,0.0,0.0
DomesticTouristsPer1000,0.001,0.007,0.229,0.919,0.031,0.005,0.0,0.801,0.0,0.0,0.0,0.01,0.002,0.0,0.975,0.015,0.004,0.0,0.0
InboundToOutboundRatio,0.123,0.373,0.0,0.002,0.062,0.011,0.801,0.0,0.654,0.932,0.461,0.834,0.323,0.456,0.241,0.794,0.883,0.865,0.514
CostOfLivingIndex,0.001,0.001,0.916,0.546,0.016,0.0,0.0,0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.009,0.0,0.0,0.0
GroceriesCostIndex,0.0,0.002,0.955,0.318,0.04,0.0,0.0,0.932,0.0,0.0,0.0,0.001,0.0,0.0,0.746,0.074,0.002,0.0,0.0
RestaurantPriceIndex,0.0,0.0,0.357,0.656,0.004,0.0,0.0,0.461,0.0,0.0,0.0,0.01,0.001,0.0,0.16,0.002,0.0,0.0,0.0
SafetyIndex,0.007,0.003,0.954,0.612,0.135,0.0,0.01,0.834,0.0,0.001,0.01,0.0,0.03,0.0,0.006,0.003,0.0,0.0,0.014
HealthCareIndex,0.103,0.043,0.235,0.833,0.018,0.198,0.002,0.323,0.0,0.0,0.001,0.03,0.0,0.0,0.833,0.521,0.183,0.136,0.0
QualityOfLifeIndex,0.018,0.004,0.393,0.124,0.002,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.002,0.0,0.0,0.0
ClimateIndex,0.571,0.464,0.323,0.09,0.376,0.363,0.975,0.241,0.414,0.746,0.16,0.006,0.833,0.991,0.0,0.556,0.362,0.466,0.959
ReverseTrafficInefficiencyIndex,0.369,0.13,0.92,0.652,0.027,0.0,0.015,0.794,0.009,0.074,0.002,0.003,0.521,0.002,0.556,0.0,0.0,0.0,0.001
ReverseTrafficTimeIndexMinutes,0.039,0.013,0.911,0.051,0.029,0.0,0.004,0.883,0.0,0.002,0.0,0.0,0.183,0.0,0.362,0.0,0.0,0.0,0.0
ReverseTrafficIndex,0.097,0.025,0.916,0.278,0.01,0.0,0.0,0.865,0.0,0.0,0.0,0.0,0.136,0.0,0.466,0.0,0.0,0.0,0.0
ReversePollutionIndex,0.003,0.008,0.413,0.672,0.035,0.0,0.0,0.514,0.0,0.0,0.0,0.014,0.0,0.0,0.959,0.001,0.0,0.0,0.0
